time_s,channel,id,dlc,data
0.000000,B,0x3A2,8,60C672941D80CD70
0.000005,B,0x25D,8,3641012A04F00000
0.000010,B,0x132,6,A08CF2FF1B40
0.000015,B,0x3A3,8,0ED0000058062C0C
0.000020,B,0x409,1,00
0.000508,A,0x052,8,91FF080220142A6B
0.000529,B,0x545,8,010000000010409B
0.000534,B,0x2E8,8,021100000E80E06B
0.001508,A,0x108,8,1F0700020000000D
0.001633,A,0x118,8,FA67320000480000
0.001654,B,0x118,8,FA67320000480000
0.001659,B,0x266,8,0000012200008801
0.001664,B,0x439,8,0000000000382201
0.001669,B,0x257,8,6E441F0002A00F01
0.001674,B,0x1D8,8,2900000000002022
0.002508,A,0x101,8,0100FF7F01405517
0.002633,A,0x111,8,3E0083FF0300572C
0.002758,A,0x155,8,00000000AA036063
0.002779,B,0x1E5,8,02AC0400000020B8
0.002784,B,0x129,8,07281C200020FF3F
0.002789,B,0x798,8,B4296E6FCB0DA0DE
0.003508,A,0x129,8,07281C200020FF3F
0.003633,A,0x175,8,00000000000060D6
0.003754,A,0x211,6,9311710D00F1
0.003775,B,0x261,8,A400D85702400447
0.003780,B,0x3A1,8,E44E00CA006C426A
0.003785,B,0x263,8,D97D8D0EB84F1F1F
0.004508,A,0x261,8,A400D85702400447
0.004633,A,0x103,8,22B34804B23A2132
0.004759,A,0x239,8,0000647D7D7DF070
0.004779,B,0x3A8,8,1200000007000000
0.004784,B,0x211,6,9311710D00F1
0.004789,B,0x3C2,8,2955000000000080
0.004795,B,0x474,5,4B8AFCFF03
0.004800,B,0x400,7,00E0FBBEEFFB00
0.005508,A,0x247,8,06001DFC00400800
0.005633,A,0x24A,8,0000010F1F008000
0.005748,A,0x051,3,7D6B0A
0.005768,B,0x393,8,060015A108201920
0.006501,A,0x39D,5,1950012800
0.006626,A,0x370,8,91FF080320142B6D
0.006751,A,0x3C2,8,2955000000000080
0.006772,B,0x39D,5,1950012800
0.007577,A,0x240,2,B775
0.007598,B,0x448,6,000010100000
0.008508,A,0x257,8,6E441F0002A00F01
0.009403,B,0x2A8,8,029100000E80F0BB
0.010508,A,0x2E8,8,021100000E80E06B
0.010633,A,0x052,8,91FF080220132B6B
0.010748,A,0x031,3,545B02
0.010768,B,0x132,6,9D8CF2FF1E40
0.010774,B,0x372,8,0CE87F550F000000
0.010779,B,0x3DB,8,0302000000800000
0.010784,B,0x43B,8,017F00FF00000000
0.010789,B,0x719,8,166A000000000000
0.010794,B,0x1FA,3,000000
0.011508,A,0x2E1,8,0400008048442612
0.011528,B,0x2E1,8,0400008048442612
0.011533,B,0x118,8,FB68320000480000
0.012508,A,0x108,8,200800020000000D
0.012633,A,0x141,8,2B00CEFF1F00B710
0.012759,A,0x118,8,FB68320000480000
0.012779,B,0x2C1,8,212B0D0A02000000
0.012784,B,0x1D8,8,2900000000004042
0.012790,B,0x20C,8,8F183616BE80180A
0.012795,B,0x266,8,0000012200008801
0.012800,B,0x129,8,52291C200020FF3F
0.012805,B,0x1E5,8,02AC0400000040D8
0.013508,A,0x129,8,52291C200020FF3F
0.013633,A,0x677,8,1810F4A478408902
0.013654,B,0x677,8,1810F4A478408902
0.013659,B,0x243,8,0248011106100000
0.014508,A,0x383,8,60FCFF02000040BA
0.014528,B,0x45A,8,A4C5C5C55F353253
0.015508,A,0x340,8,0200000010000000
0.015622,A,0x051,3,846C0A
0.015642,B,0x340,8,0200000010000000
0.015647,B,0x381,8,2260EEE70A100100
0.016508,A,0x370,8,91FF080320152C6F
0.016528,B,0x234,8,60E103804300B456
0.016533,B,0x428,6,000000100000
0.017403,B,0x379,8,0B0000000000190A
0.017408,B,0x79F,1,3B
